address,price,size,date_sold,sqm_price,area,percent_increase
Västmannagatan 52,11550000,"5 rum, 121 m²",2021-02-13,95 500 kr/m²,"Lägenhet, Vasastan",+7.0 %
Frejgatan 20,4900000,"2½ rum, 48 m²",2021-02-13,102 100 kr/m²,"Lägenhet, Vasastan",+9.0 %
Lokstallsgatan 6,3650000,"1½ rum, 39 m²",2021-02-13,93 600 kr/m²,"Lägenhet, Vasastan",+9.0 %
Torsplan 10,9700000,"4 rum, 96 m²",2021-02-13,101 000 kr/m²,"Lägenhet, Vasastan",-2.5 %
Västmannagatan 84,8600000,"3 rum, 72½ m²",2021-02-12,118 300 kr/m²,"Lägenhet, Vasastan",+18.6 %
Ynglingagatan 25,6560000,"2½ rum, 71 m²",2021-02-12,92 400 kr/m²,"Lägenhet, Vasastan",+31.3 %
Gästrikegatan 20,6900000,"2 rum, 55½ m²",2021-02-12,124 500 kr/m²,"Lägenhet, Vasastan - Vasaparken",+15.1 %
Gästrikegatan 12,6300000,"2 rum, 63 m²",2021-02-12,100 000 kr/m²,"Lägenhet, Vasastan",+16.8 %
Sankt Eriksgatan 65,9350000,"3 rum, 85 m²",2021-02-12,110 000 kr/m²,"Lägenhet, Vasastan",+16.9 %
Vulcanusgatan 13,6600000,"2 rum, 61 m²",2021-02-12,108 200 kr/m²,"Lägenhet, Vasastan",+20.1 %
Hälsingegatan 51,4195000,"1½ rum, 35 m²",2021-02-12,119 900 kr/m²,"Lägenhet, Hagastaden",+/-0.0 %
Tegnérgatan 55A,4325000,"2 rum, 35 m²",2021-02-12,123 600 kr/m²,"Lägenhet, Vasastan",+31.3 %
Frejgatan 37,6050000,"2 rum, 72 m²",2021-02-12,84 000 kr/m²,"Lägenhet, Vasastan",+10.1 %
Torsplan 8,6440000,"2 rum, 63 m²",2021-02-12,102 200 kr/m²,"Lägenhet, Vasastan",-0.9 %
Ruddammsvägen 6,4600000,"2 rum, 52 m²",2021-02-12,88 500 kr/m²,"Lägenhet, Östermalm",—
Hagagatan 14,9600000,"3 rum, 81 m²",2021-02-11,118 500 kr/m²,"Lägenhet, Vasastan",+18.5 %
Dalagatan 40A,7650000,"2 rum, 62 m²",2021-02-11,123 400 kr/m²,"Lägenhet, Vasastan",+13.3 %
Gävlegatan 26,4500000,"2 rum, 44 m²",2021-02-11,102 300 kr/m²,"Lägenhet, Hagastaden Vasastan",+12.6 %
Torsgatan 42D,4950000,"2 rum, 43½ m²",2021-02-11,113 800 kr/m²,"Lägenhet, Vasastan",+12.6 %
Idungatan 14,9480000,"3 rum, 86 m²",2021-02-11,110 200 kr/m²,"Lägenhet, Vasastan",+18.6 %
Sankt Eriksgatan 85B,4450000,"2 rum, 36 m²",2021-02-11,123 600 kr/m²,"Lägenhet, Sankt Eriksplan",+17.3 %
Hagagatan 17M,7200000,"3 rum, 78 m²",2021-02-11,92 300 kr/m²,"Lägenhet, Vasastan",+5.1 %
Döbelnsgatan 60,3410000,"1 rum, 31 m²",2021-02-11,110 000 kr/m²,"Lägenhet, Vasastan",+13.9 %
Vanadisvägen 4I,3900000,"1½ rum, 41 m²",2021-02-11,95 100 kr/m²,"Lägenhet, Vasastan",+4.0 %
